videoId,title,channelTitle,description,publishTime
oJAbATJCugs,Global Warming 101 | National Geographic,National Geographic,"Global warming could do more than just melt polar ice. It could change our maps, and displace people from cities and tropical islands. See all National ...",2007-05-18T15:23:22Z
PqxMzKLYrZ4,Global Warming | #aumsum #kids #science #education #children,It's AumSum Time,Global Warming. The thicker layer of greenhouse gases traps more heat. This result in an increase in average temperature of the earth and the earth becomes ...,2015-05-28T07:24:35Z
TkRdM8db_qY,Terrifying proof of global warming | 60 Minutes Australia,60 Minutes Australia,"In 2007, Tara Brown reported from a place where they couldn't be happier about climate change. Greenland is the world's largest island, it's incredibly remote, ...",2019-03-29T01:00:04Z
uOMRF7t5Vn0,Global Warming The Future - Full Documentary 2019 HD,TL Documentary,Global Warming The Future - Full Documentary 2019 HD Climate change is a change in the statistical distribution of weather patterns when that change lasts for ...,2019-11-08T14:00:09Z
OWXoRSIxyIU,13 Misconceptions About Global Warming,Veritasium,Donate to the IPCC to prevent climate change → https://ve42.co/donateIPCC Common misconceptions about climate change. Check out Audible: ...,2014-09-22T17:36:43Z
G4H1N_yXBiA,Causes and Effects of Climate Change | National Geographic,National Geographic,What causes climate change (also known as global warming)? And what are the effects of climate change? Learn the human impact and consequences of ...,2017-08-28T12:00:01Z
lHFd5kLAwNY,Global Warming 101 | National Geographic,National Geographic,"Global warming could do more than just melt polar ice. It could change our maps, and displace people from cities and tropical islands. ➡ Subscribe: ...",2012-03-29T13:34:55Z
Y3gqoDUtmt4,Global Warming - The End Game | The Dr. Binocs Show | Best Learning Videos For Kids | Peekaboo Kidz,Peekaboo Kidz,What Is Global Warming? | The Dr. Binocs Show | Best Learning Videos For Kids | Peekaboo Kidz Hi KIDZ! Welcome to a BRAND NEW SEASON of the DR.,2019-03-29T12:45:24Z
8DiWzvE52ZY,Gojira - Global Warming [Live at the Silver Cord Studio May 2018],Gojira,"A few weeks ago, we played Global Warming together for the first time since the recording of From Mars To Sirius (2004). We never played it live before, as it is a ...",2018-06-25T15:55:41Z
wbR-5mHI6bo,"Is It Too Late To Stop Climate Change? Well, it&#39;s Complicated.",Kurzgesagt – In a Nutshell,A special thanks to the team at Our World for helping us out with data and research! https://ourworldindata.org/ Sources & further reading: ...,2020-09-29T14:00:26Z
d7Ci_EooW-k,Greenhouse Effect and Global Warming | Environmental Science | LetsTute,Letstute,"Hello Friends! Check out our video on ""Greenhouse Effect and Global Warming” by Letstute. This Video covers : - What is Global Warming? - What is Green ...",2018-02-16T10:56:24Z
08z_xW-szwM,Can we solve global warming? Lessons from how we protected the ozone layer | Sean Davis,TED,The Montreal Protocol proved that the world could come together and take action on climate change. Thirty years after the world's most successful environmental ...,2019-02-12T21:14:08Z
0F3QPY83NZQ,Global Warming 101 | National Geographic,National Geographic,"Global warming could do more than just melt polar ice. It could change our maps, and displace people from cities and tropical islands ➡ Subscribe: ...",2011-07-11T23:31:51Z
4Uy9b87cYRs,How Does Global Warming Effect The Environment | Environmental Chemistry | Chemistry | FuseSchool,FuseSchool - Global Education,How Does Global Warming Effect The Environment? Learn the basics about the effect of global warming on the environment. Over the last 2000 years ...,2020-05-04T05:18:35Z
dcBXmj1nMTQ,What is Climate Change? | Start Here,Al Jazeera English,"The hard facts about global warming - a defining issue of our time. Climate change is happening now, and even world leaders meeting for climate talks at this ...",2019-12-01T13:00:07Z
TbW_1MtC2So,The Biggest Lie About Climate Change,AsapSCIENCE,You were lied to about climate change. Listen to our podcast Sidenote! https://youtu.be/GQVKvU25Ojk CLIMATE PROTEST INFO: US: ...,2019-03-14T17:21:13Z
hphdsLcSTYQ,What’s REALLY Warming the Earth?,It's Okay To Be Smart,Viewers like you help make PBS (Thank you ) . Support your local PBS Member Station here: https://to.pbs.org/PBSDSDonate Watch my other climate science ...,2016-08-29T17:25:39Z
EtW2rrLHs08,Climate Change 101 with Bill Nye | National Geographic,National Geographic,"Climate Change is a real and serious issue. In this video Bill Nye, the Science Guy, explains what causes climate change, how it affects our planet, why we need ...",2015-12-02T19:00:00Z
ZfFvLJyPf3o,How Earth’s Geography Will Change With Climate Change,RealLifeLore,Sign up for an annual CuriosityStream subscription and also get a free Nebula subscription (the new streaming platform built by creators) here: ...,2020-05-19T14:30:02Z
vNIjGFbsAq8,Global Warming - Climate | Class 11th Geography,Magnet Brains,Get Notes Here:- https://www.pabbly.com/out/magnet-brains Get Magnet Brains T-shirt:- https://www.pabbly.com/out/magnet-brains-t-shirt Class: 11th Subject: ...,2020-09-01T03:30:14Z
Z_b2A-d5hGY,GCSE Chemistry - Global Warming &amp; Climate Change #53,Cognito,"In this video, we'll look at: - What the greenhouse effect is, and how it causes global warming - The difference between global warming and climate change ...",2019-05-24T10:59:36Z
Vztjbm6HA58,Global Warming - video for kids,learning junction,This video explains all about Global warming and Green house Effect in a simple and fun way.,2015-10-17T09:00:50Z
n94lepehpm4,What Is Global Warming?,MonkeySee,"Science expert Emerald Robinson explains what global warming is and how it effects the earth.To view over 15000 other how-to, DIY, and advice videos on any ...",2013-02-22T21:43:01Z
AW4q0a2lfm8,Full Documentary: Race To Save the Planet,Dave Malkoff,"Produced in 2019, several candidates in the 2020 U.S. Presidental race talk about climate change and the environmental impact domestic policy can have on ...",2020-08-01T16:24:22Z
yyAuWeoTm2s,Could Global Warming Start A New Ice Age?,Atlas Pro,Support me on patreon at https://www.patreon.com/atlaspro Follow me on twitter @theatlaspro ...,2019-06-03T12:00:16Z
